Epoch		Loss	Accuracy
Epoch 46900: 0.281437 0.898438
Epoch 47000: 0.338886 0.875000
Epoch 47100: 0.370403 0.859375
Epoch 47200: 0.327630 0.882812
Epoch 47300: 0.281731 0.890625
Epoch 47400: 0.430288 0.812500
Epoch 47500: 0.361607 0.859375
Epoch 47600: 0.469115 0.843750
Epoch 47700: 0.406110 0.851562
Epoch 47800: 0.535188 0.820312
Epoch 47900: 0.459020 0.851562
Epoch 48000: 0.480137 0.851562
Epoch 48100: 0.317603 0.851562
Epoch 48200: 0.448462 0.812500
Epoch 48300: 0.331611 0.859375
Epoch 48400: 0.370981 0.867188
Epoch 48500: 0.327787 0.890625
Epoch 48600: 0.389514 0.867188
Epoch 48700: 0.332076 0.882812
Epoch 48800: 0.489721 0.828125
Epoch 48900: 0.423310 0.843750
Epoch 49000: 0.456588 0.828125
Epoch 49100: 0.366107 0.882812
Epoch 49200: 0.362676 0.898438
Epoch 49300: 0.396321 0.851562
Epoch 49400: 0.351964 0.859375
Epoch 49500: 0.481898 0.828125
Epoch 49600: 0.336491 0.859375
Epoch 49700: 0.497454 0.828125
Epoch 49800: 0.330377 0.882812
Epoch 49900: 0.471573 0.812500
Epoch 50000: 0.383036 0.859375
Epoch 50100: 0.300064 0.906250
Epoch 50200: 0.378205 0.820312
Epoch 50300: 0.513122 0.859375
Epoch 50400: 0.220563 0.921875
Epoch 50500: 0.434589 0.835938
Epoch 50600: 0.387422 0.859375
Epoch 50700: 0.343147 0.867188
Epoch 50800: 0.385624 0.835938
Epoch 50900: 0.331652 0.851562
Epoch 51000: 0.379592 0.859375
Epoch 51100: 0.402284 0.875000
Epoch 51200: 0.274586 0.914062
Epoch 51300: 0.464510 0.867188
Epoch 51400: 0.360065 0.843750
Epoch 51500: 0.514343 0.804688
Epoch 51600: 0.336698 0.859375
Epoch 51700: 0.482555 0.867188
Epoch 51800: 0.306058 0.867188
Epoch 51900: 0.310605 0.867188
Epoch 52000: 0.371176 0.851562
Epoch 52100: 0.433653 0.828125
Epoch 52200: 0.430299 0.828125
Epoch 52300: 0.294269 0.890625
Epoch 52400: 0.353840 0.875000
Epoch 52500: 0.366333 0.859375
Epoch 52600: 0.320773 0.867188
Epoch 52700: 0.291875 0.898438
Epoch 52800: 0.229800 0.914062
Epoch 52900: 0.485923 0.843750
Epoch 53000: 0.236458 0.921875
Epoch 53100: 0.322955 0.851562
Epoch 53200: 0.297961 0.882812
Epoch 53300: 0.385223 0.890625
Epoch 53400: 0.328187 0.867188
Epoch 53500: 0.343047 0.898438
Epoch 53600: 0.346703 0.867188
Epoch 53700: 0.273338 0.921875
Epoch 53800: 0.412068 0.859375
Epoch 53900: 0.300393 0.906250
Epoch 54000: 0.356677 0.843750
Epoch 54100: 0.301747 0.890625
Epoch 54200: 0.424544 0.867188
Epoch 54300: 0.242304 0.914062
Epoch 54400: 0.333643 0.859375
Epoch 54500: 0.268876 0.898438
Epoch 54600: 0.359030 0.859375
Epoch 54700: 0.288912 0.898438
Epoch 54800: 0.295366 0.859375
Epoch 54900: 0.227300 0.906250
Epoch 55000: 0.449633 0.804688
Epoch 55100: 0.421734 0.882812
Epoch 55200: 0.392997 0.859375
Epoch 55300: 0.233896 0.921875
Epoch 55400: 0.225240 0.921875
Epoch 55500: 0.326863 0.875000
Epoch 55600: 0.344619 0.843750
Epoch 55700: 0.220396 0.921875
Epoch 55800: 0.568151 0.851562
Epoch 55900: 0.283877 0.906250
Epoch 56000: 0.219100 0.890625
Epoch 56100: 0.233980 0.929688
Epoch 56200: 0.330842 0.828125
Epoch 56300: 0.322092 0.882812
Epoch 56400: 0.234619 0.914062
Epoch 56500: 0.277334 0.898438
Epoch 56600: 0.265025 0.875000
Epoch 56700: 0.247079 0.898438
Epoch 56800: 0.268084 0.914062
Epoch 56900: 0.359536 0.859375
Epoch 57000: 0.175657 0.945312
Epoch 57100: 0.365406 0.882812
Epoch 57200: 0.330038 0.898438
Epoch 57300: 0.385543 0.851562
Epoch 57400: 0.351985 0.898438
Epoch 57500: 0.318339 0.906250
Epoch 57600: 0.299099 0.890625
Epoch 57700: 0.278365 0.890625
Epoch 57800: 0.215976 0.921875
Epoch 57900: 0.292457 0.906250
Epoch 58000: 0.355141 0.867188
Epoch 58100: 0.372192 0.882812
Epoch 58200: 0.384343 0.859375
Epoch 58300: 0.298378 0.875000
Epoch 58400: 0.287473 0.867188
Epoch 58500: 0.395600 0.906250
Epoch 58600: 0.290444 0.906250
Epoch 58700: 0.362007 0.859375
Epoch 58800: 0.197869 0.937500
Epoch 58900: 0.355924 0.875000
Epoch 59000: 0.295130 0.875000
Epoch 59100: 0.366149 0.859375
Epoch 59200: 0.235412 0.914062
Epoch 59300: 0.291744 0.906250
Epoch 59400: 0.216446 0.914062
Epoch 59500: 0.228875 0.914062
Epoch 59600: 0.441153 0.843750
Epoch 59700: 0.198573 0.914062
Epoch 59800: 0.191646 0.945312
Epoch 59900: 0.315161 0.882812
Epoch 60000: 0.260705 0.890625
Epoch 60100: 0.857536 0.773438
Epoch 60200: 0.646709 0.781250
Epoch 60300: 0.483664 0.835938
Epoch 60400: 0.697427 0.781250
Epoch 60500: 0.606650 0.835938
Epoch 60600: 0.447059 0.890625
Epoch 60700: 0.383221 0.859375
Epoch 60800: 0.467367 0.851562
Epoch 60900: 0.371229 0.875000
Epoch 61000: 0.411844 0.859375
Epoch 61100: 0.392291 0.859375
Epoch 61200: 0.423870 0.851562
Epoch 61300: 0.428645 0.828125
Epoch 61400: 0.448015 0.867188
Epoch 61500: 0.470860 0.820312
Epoch 61600: 0.513863 0.859375
Epoch 61700: 0.608876 0.835938
Epoch 61800: 0.362479 0.914062
Epoch 61900: 0.374719 0.859375
Epoch 62000: 0.414555 0.867188
Epoch 62100: 0.321308 0.882812
Epoch 62200: 0.364298 0.859375
Epoch 62300: 0.249632 0.906250
Epoch 62400: 0.279441 0.890625
Epoch 62500: 0.347841 0.898438
Epoch 62600: 0.384415 0.882812
Epoch 62700: 0.329677 0.851562
Epoch 62800: 0.432286 0.820312
Epoch 62900: 0.252970 0.906250
Epoch 63000: 0.395168 0.875000
Epoch 63100: 0.259039 0.929688
Epoch 63200: 0.418168 0.859375
Epoch 63300: 0.341243 0.867188
Epoch 63400: 0.252744 0.929688
Epoch 63500: 0.341247 0.890625
Epoch 63600: 0.299446 0.882812
Epoch 63700: 0.241045 0.929688
Epoch 63800: 0.326016 0.851562
Epoch 63900: 0.263686 0.921875
Epoch 64000: 0.320881 0.859375
Epoch 64100: 0.343221 0.875000
Epoch 64200: 0.368561 0.898438
Epoch 64300: 0.229824 0.914062
Epoch 64400: 0.242538 0.890625
Epoch 64500: 0.254808 0.898438
Epoch 64600: 0.380018 0.882812
Epoch 64700: 0.222397 0.914062
Epoch 64800: 0.353108 0.851562
Epoch 64900: 0.404291 0.859375
Epoch 65000: 0.346695 0.875000
Epoch 65100: 0.311626 0.921875
Epoch 65200: 0.316183 0.890625
Epoch 65300: 0.267648 0.898438
Epoch 65400: 0.453478 0.882812
Epoch 65500: 0.233363 0.898438
Epoch 65600: 0.361053 0.875000
Epoch 65700: 0.237802 0.906250
Epoch 65800: 0.176835 0.953125
Epoch 65900: 0.256979 0.914062
Epoch 66000: 0.202826 0.921875
Epoch 66100: 0.284026 0.906250
Epoch 66200: 0.246785 0.929688
Epoch 66300: 0.204862 0.945312
Epoch 66400: 0.128166 0.976562
Epoch 66500: 0.370479 0.875000
Epoch 66600: 0.279137 0.898438
Epoch 66700: 0.256945 0.937500
Epoch 66800: 0.227588 0.937500
Epoch 66900: 0.269840 0.921875
Epoch 67000: 0.115948 0.953125
Epoch 67100: 0.273688 0.921875
Epoch 67200: 0.292043 0.890625
Epoch 67300: 0.308519 0.914062
Epoch 67400: 0.241285 0.921875
Epoch 67500: 0.257297 0.929688
Epoch 67600: 0.338275 0.914062
Epoch 67700: 0.260886 0.898438
Epoch 67800: 0.330565 0.890625
Epoch 67900: 0.385262 0.882812
Epoch 68000: 0.207163 0.937500
Epoch 68100: 0.395470 0.867188
Epoch 68200: 0.190405 0.945312
Epoch 68300: 0.288700 0.921875
Epoch 68400: 0.204164 0.914062
Epoch 68500: 0.215603 0.921875
Epoch 68600: 0.223778 0.914062
Epoch 68700: 0.241759 0.914062
Epoch 68800: 0.263198 0.929688
Epoch 68900: 0.235530 0.937500
Epoch 69000: 0.292358 0.921875
Epoch 69100: 0.186757 0.929688
Epoch 69200: 0.163743 0.953125
Epoch 69300: 0.239635 0.906250
Epoch 69400: 0.228410 0.914062
Epoch 69500: 0.187752 0.937500
Epoch 69600: 0.218404 0.929688
Epoch 69700: 0.127305 0.968750
Epoch 69800: 0.241439 0.921875
Epoch 69900: 0.247221 0.929688
Epoch 70000: 0.236883 0.921875
Epoch 70100: 0.176553 0.960938
Epoch 70200: 0.172120 0.953125
Epoch 70300: 0.159761 0.953125
Epoch 70400: 0.172206 0.960938
Epoch 70500: 0.138698 0.953125
Epoch 70600: 0.190924 0.937500
Epoch 70700: 0.157129 0.945312
Epoch 70800: 0.185821 0.953125
Epoch 70900: 0.168952 0.960938
Epoch 71000: 0.245492 0.906250
Epoch 71100: 0.198361 0.953125
Epoch 71200: 0.143808 0.976562
Epoch 71300: 0.128673 0.984375
Epoch 71400: 0.238409 0.906250
Epoch 71500: 0.266281 0.921875
Epoch 71600: 0.237571 0.929688
Epoch 71700: 0.124232 0.968750
Epoch 71800: 0.281220 0.914062
Epoch 71900: 0.157327 0.937500
Epoch 72000: 0.203230 0.929688
Epoch 72100: 0.160598 0.937500
Epoch 72200: 0.175866 0.945312
Epoch 72300: 0.122022 0.968750
Epoch 72400: 0.240147 0.929688
Epoch 72500: 0.182170 0.960938
Epoch 72600: 0.240245 0.906250
Epoch 72700: 0.185576 0.945312
Epoch 72800: 0.195814 0.937500
Epoch 72900: 0.286920 0.914062
Epoch 73000: 0.261304 0.921875
Epoch 73100: 0.183928 0.945312
Epoch 73200: 0.169614 0.945312
